Dona_Maria of_Bourbon	Don Juan of_Spain
Juan Carlos	Don Juan of_Spain
Margarite	Don Juan of_Spain
Alphonso	Don Juan of_Spain
Peter_II of_Yugoslavia	Alexander_I of_Yugoslavia
Tomislav of_Yugoslavia	Alexander_I of_Yugoslavia
Andrej of_Yugoslavia	Alexander_I of_Yugoslavia
Helen	Juan Carlos
Christine	Juan Carlos
Philip of_Asturias	Juan Carlos
Ragnhild Alexandra	Olav_V
Astrid Maud Ingeborg	Olav_V
Harald	Olav_V
Martha Louise	Harald
Haakon of_Norway of house of Magnus	Harald
Gustav_VI Adolf	Gustav_V
William #8	Gustav_V
Erik of_Vastmanland	Gustav_V
Gustav_V	Oscar_II
Oscar #2	Oscar_II
Charles of_Sweden	Oscar_II
Eugene	Oscar_II
George Donatus of_Hesse	Ernest Louis of_Hesse
Louis	Ernest Louis of_Hesse
Louis #6	George Donatus of_Hesse
Alexander #6	George Donatus of_Hesse
Joanna	George Donatus of_Hesse
Michael of house of Hohenzollern	Carol_II of house of Hohenzollern
Margarita of_Romania	Michael of house of Hohenzollern
Helen of_Romania	Michael of house of Hohenzollern
Irina #2	Michael of house of Hohenzollern
Sophie	Michael of house of Hohenzollern
Maria #2	Michael of house of Hohenzollern
Sophia of_Greece of house of Oldenburg	Paul_I of house of Oldenburg
Constantine_II of house of Oldenburg	Paul_I of house of Oldenburg
Irene of_Greece of house of Oldenburg	Paul_I of house of Oldenburg
Alexia of house of Oldenburg	Constantine_II of house of Oldenburg
Paul of_Sparta of house of Oldenburg	Constantine_II of house of Oldenburg
Nicholas of house of Oldenburg	Constantine_II of house of Oldenburg
UNKNOWN of house of Oldenburg	Constantine_II of house of Oldenburg
UNKNOWN of house of Oldenburg #2	Constantine_II of house of Oldenburg
Alexandra of_Greece #2	Alexander_I of house of Oldenburg
Alexander	Peter_II of_Yugoslavia
Five_children	Gottfried of_Hohenlohe- Lagenburg
Four_Children	Berthold of_Baden
Eight_children	George William of_Hanover
Alexander of_Wurttemberg	Ludwig of_Wurttemberg
Maria	Ludwig of_Wurttemberg
Amalie of_Wurttemberg	Ludwig of_Wurttemberg
Patricia of house of Mountbatten	Louis of_Burma of house of Mountbatten
Pamela of house of Mountbatten	Louis of_Burma of house of Mountbatten
Tatiana Elizabeth of house of Mountbatten	George of house of Mountbatten
David of_Milford_Haven of house of Mountbatten	George of house of Mountbatten
Five_children #2	John Knatchbull of house of Ulick
Two_Children	David of house of Hicks
Pepin the_Hunchback	Charlemagne
Frederick Francis_II of_Mecklenburg-	Paul Frederick
William #3	William
Louis Ferdinand of_Prussia	William
Hubertus	William
Frederick #3	William
Alexandrine	William
Cecilie	William
Dau._1 #3	William #3
Dau._2 #3	William #3
Friedrich Wilhelm of_Prussia	Louis Ferdinand of_Prussia
Michael of_Prussia	Louis Ferdinand of_Prussia
Marie-Cecile of_Prussia	Louis Ferdinand of_Prussia
Louis Ferdinand of_Prussia #2	Louis Ferdinand of_Prussia
Christian Sigismund of_Prussia	Louis Ferdinand of_Prussia
Dau._2 #4	Louis Ferdinand of_Prussia
Dau._3	Louis Ferdinand of_Prussia
Dau._1 #4	Hubertus
Dau._2 #5	Hubertus
Son_1 #3	Frederick #3
Son_2 #4	Frederick #3
Son_3	Frederick #3
Dau._1 #5	Frederick #3
Dau._2 #6	Frederick #3
Ernest Augustus of_Hanover of house of Hanover	Ernest Augustus of_Brunswick of house of Hanover
George William of house of Hanover #3	Ernest Augustus of_Brunswick of house of Hanover
Frederica of_Hanover of house of Hanover	Ernest Augustus of_Brunswick of house of Hanover
Christian of house of Hanover #2	Ernest Augustus of_Brunswick of house of Hanover
Guelph Henry of house of Hanover	Ernest Augustus of_Brunswick of house of Hanover
Monika of_Solms-Laubach of house of Hanover	Ernest Augustus of_Brunswick of house of Hanover
Frederica Charlotte of_Prussia	Frederick William_II
Frederick William_III	Frederick William_II
Christine #2	Frederick William_II
Louis #2	Frederick William_II
Wilhelmina	Frederick William_II
Son Stillborn	Frederick William_II
Augusta	Frederick William_II
Charles #3	Frederick William_II
William #4	Frederick William_II
William_II of_Netherlands	William_I of_Netherlands
Frederik of_Netherlands	William_I of_Netherlands
Charlotte #3	William_I of_Netherlands
Marianne of_Netherlands	William_I of_Netherlands
Frederick William_II	Augustus William #2
Frederick Henry Charles	Augustus William #2
Wilhelmine	Augustus William #2
George Charles Emil	Augustus William #2
Friedrich Wilhelm of_Nassau-Weilb	Charles Christian of_Nassau-Weilb
Henriette	Charles Christian of_Nassau-Weilb
Wilhelm of_Nassau	Friedrich Wilhelm of_Nassau-Weilb
Adolphe of_Luxembourg	Wilhelm of_Nassau
Sophia	Wilhelm of_Nassau
Guillaume_IV of_Luxembourg	Adolphe of_Luxembourg
Charlotte of_Luxembourg	Guillaume_IV of_Luxembourg
Jean of_Luxembourg	Unknown #5
